sqrt_radius,isPrime,mod4,factors,cc,cartesian,img_ops,size
482,false,,"[2, 241]","Complex[1 + 1im, 1 - 1im, 4 + 15im, 4 - 15im]","Complex[-11 + 19im, -11 - 19im, 2 + 0im, 241 + 0im]","Complex[-11 + 19im, -11 - 19im, 2 + 0im, 241 + 0im, -19 - 11im, 19 - 11im, 0 + 2im, 0 + 241im, 19 + 11im, -19 + 11im, 0 - 2im, 0 - 241im, 11 - 19im, 11 + 19im, -2 + 0im, -241 + 0im]","(16,)"
483,false,3,"[3, 7, 23]","Complex[3 + 0im, 7 + 0im, 23 + 0im]",Complex[],Any[],"(0,)"
484,false,,"[2, 2, 11, 11]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 11 + 0im, 11 + 0im]","Complex[0 + 22im, 0 - 22im, 2 + 2im, 121 - 121im]","Complex[0 + 22im, 0 - 22im, 2 + 2im, 121 - 121im, -22 + 0im, 22 + 0im, -2 + 2im, 121 + 121im, 2 - 2im, -121 - 121im, -2 - 2im, -121 + 121im]","(12,)"
485,false,1,"[5, 97]","Complex[2 + 1im, 2 - 1im, 4 + 9im, 4 - 9im]","Complex[-1 + 22im, -1 - 22im, 5 + 0im, 97 + 0im]","Complex[-1 + 22im, -1 - 22im, 5 + 0im, 97 + 0im, -22 - 1im, 22 - 1im, 0 + 5im, 0 + 97im, 22 + 1im, -22 + 1im, 0 - 5im, 0 - 97im, 1 - 22im, 1 + 22im, -5 + 0im, -97 + 0im]","(16,)"
486,false,,"[2, 3, 3, 3, 3, 3]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 3 + 0im, 3 + 0im, 3 + 0im]",Complex[],Any[],"(0,)"
487,true,3,[487],Complex[487 + 0im],Complex[487 + 0im],"Complex[487 + 0im, 0 + 487im, 0 - 487im, -487 + 0im]","(4,)"
488,false,,"[2, 2, 2, 61]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 5 + 6im, 5 - 6im]","Complex[-22 - 2im, -22 + 2im, 4 + 0im, 122 + 0im]","Complex[-22 - 2im, -22 + 2im, 4 + 0im, 122 + 0im, 2 - 22im, -2 - 22im, 0 + 4im, 0 + 122im, -2 + 22im, 2 + 22im, 0 - 4im, 0 - 122im, 22 + 2im, 22 - 2im, -4 + 0im, -122 + 0im]","(16,)"
489,false,1,"[3, 163]","Complex[3 + 0im, 163 + 0im]","Complex[3 + 0im, 163 + 0im]","Complex[3 + 0im, 163 + 0im, 0 + 3im, 0 + 163im, 0 - 3im, 0 - 163im, -3 + 0im, -163 + 0im]","(8,)"
490,false,,"[2, 5, 7, 7]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 7 + 0im, 7 + 0im]","Complex[7 + 21im, 7 - 21im, 4 + 2im, 98 - 49im]","Complex[7 + 21im, 7 - 21im, 4 + 2im, 98 - 49im, -21 + 7im, 21 + 7im, -2 + 4im, 49 + 98im, 21 - 7im, -21 - 7im, 2 - 4im, -49 - 98im, -7 - 21im, -7 + 21im, -4 - 2im, -98 + 49im]","(16,)"
491,true,3,[491],Complex[491 + 0im],Complex[491 + 0im],"Complex[491 + 0im, 0 + 491im, 0 - 491im, -491 + 0im]","(4,)"
492,false,,"[2, 2, 3, 41]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 4 + 5im, 4 - 5im]",Complex[],Any[],"(0,)"
493,false,1,"[17, 29]","Complex[1 + 4im, 1 - 4im, 2 + 5im, 2 - 5im]","Complex[-18 + 13im, -18 - 13im, 17 + 0im, 29 + 0im]","Complex[-18 + 13im, -18 - 13im, 17 + 0im, 29 + 0im, -13 - 18im, 13 - 18im, 0 + 17im, 0 + 29im, 13 + 18im, -13 + 18im, 0 - 17im, 0 - 29im, 18 - 13im, 18 + 13im, -17 + 0im, -29 + 0im]","(16,)"
494,false,,"[2, 13, 19]","Complex[1 + 1im, 1 - 1im, 3 + 2im, 3 - 2im, 19 + 0im]",Complex[],Any[],"(0,)"
495,false,3,"[3, 3, 5, 11]","Complex[3 + 0im, 3 + 0im, 2 + 1im, 2 - 1im, 11 + 0im]",Complex[],Any[],"(0,)"
496,false,,"[2, 2, 2, 2, 31]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 31 + 0im]",Complex[],Any[],"(0,)"
497,false,1,"[7, 71]","Complex[7 + 0im, 71 + 0im]","Complex[7 + 0im, 71 + 0im]","Complex[7 + 0im, 71 + 0im, 0 + 7im, 0 + 71im, 0 - 7im, 0 - 71im, -7 + 0im, -71 + 0im]","(8,)"
